"id","geom","longitud","latitud","concello_id","ubicacion","km"
196,POINT (-8.644981781025088 42.58394638660502),-8.644981781025088,42.58394638660502,Caldas de Reis,66168,48.75
197,POINT (-8.644695190133767 42.581698992357914),-8.644695190133767,42.581698992357914,Caldas de Reis,66168,49.0
198,POINT (-8.64334730285336 42.579775698945866),-8.64334730285336,42.579775698945866,Caldas de Reis,66168,49.25
199,POINT (-8.64485792166723 42.43147462464597),-8.64485792166723,42.43147462464597,Pontevedra,71954,49.5
200,POINT (-8.643110457776642 42.572521929788444),-8.643110457776642,42.572521929788444,Caldas de Reis,66168,49.75
201,POINT (-8.644469781732932 42.57105882148765),-8.644469781732932,42.57105882148765,Caldas de Reis,66168,50.0
202,POINT (-8.643141286895977 42.56956593042814),-8.643141286895977,42.56956593042814,Caldas de Reis,66168,50.25
203,POINT (-8.642114854459392 42.56775422871507),-8.642114854459392,42.56775422871507,Caldas de Reis,66168,50.5
206,POINT (-8.63953398817258 42.561940055039116),-8.63953398817258,42.561940055039116,Portas,66168,51.25
207,POINT (-8.639268957603637 42.56017276701188),-8.639268957603637,42.56017276701188,Portas,66168,51.5
208,POINT (-8.637787074888962 42.55839164874432),-8.637787074888962,42.55839164874432,Portas,66168,51.75
209,POINT (-8.637753658369768 42.5560848792908),-8.637753658369768,42.5560848792908,Barro,66024,52.0
210,POINT (-8.638475182009286 42.553779746630106),-8.638475182009286,42.553779746630106,Barro,66024,52.25
211,POINT (-8.638909312780108 42.55134961280667),-8.638909312780108,42.55134961280667,Barro,66024,52.5
212,POINT (-8.639982698615004 42.54946367035584),-8.639982698615004,42.54946367035584,Barro,66024,52.75
213,POINT (-8.64199253438606 42.54815195086882),-8.64199253438606,42.54815195086882,Barro,66024,53.0
214,POINT (-8.64267380186246 42.54604948860395),-8.64267380186246,42.54604948860395,Barro,66024,53.25
215,POINT (-8.642954691748436 42.54397313552998),-8.642954691748436,42.54397313552998,Barro,66024,53.5
216,POINT (-8.642950459396303 42.54169200452879),-8.642950459396303,42.54169200452879,Barro,66024,53.75
217,POINT (-8.643950412648582 42.539479603365216),-8.643950412648582,42.539479603365216,Barro,66024,54.0
218,POINT (-8.645384784682651 42.5375679797974),-8.645384784682651,42.5375679797974,Barro,66024,54.25
219,POINT (-8.64559825334483 42.53526748561545),-8.64559825334483,42.53526748561545,Barro,66024,54.5
220,POINT (-8.645924874427235 42.5329789368307),-8.645924874427235,42.5329789368307,Barro,66024,54.75
221,POINT (-8.646645548570753 42.53066297043727),-8.646645548570753,42.53066297043727,Barro,66024,55.0
222,POINT (-8.646004362085295 42.528476539527425),-8.646004362085295,42.528476539527425,Barro,66024,55.25
223,POINT (-8.645028001633833 42.52662623686219),-8.645028001633833,42.52662623686219,Barro,66024,55.5
224,POINT (-8.6458625243191 42.524813623886025),-8.6458625243191,42.524813623886025,Barro,66024,55.75
225,POINT (-8.646296182903138 42.52345874606795),-8.646296182903138,42.52345874606795,Barro,66024,56.0
