"id","geom","tipo","nome","enderezo","concello","cp","telefono","longitud","latitud"
14770,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 3H,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 3 LETRA H",barreiros,"27790",,-7.2394666264834,43.5605572578114
14771,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 3I,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 3 LETRA I",barreiros,"27790",,-7.2394666264834,43.5605572578114
14772,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 BJ M,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA M",barreiros,"27790",,-7.2394666264834,43.5605572578114
14773,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 BJ Ñ,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA Ñ",barreiros,"27790",,-7.2394666264834,43.5605572578114
6698,POINT (-8.4052991 43.377079),vivendas_turisticas,LUIS PEREIRO REY,"RÚA ADELAIDA MURO, Nº 27 -, PISO 3º LETRA ESDA.",a coruña,"15002",,-8.4052991,43.377079
14776,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 BT,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA T",barreiros,"27790",,-7.2394666264834,43.5605572578114
14777,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 1M,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 1 LETRA M",barreiros,"27790",,-7.2394666264834,43.5605572578114
14778,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 1O,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 1 LETRA O",barreiros,"27790",,-7.2394666264834,43.5605572578114
14779,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 3S,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 3 LETRA S",barreiros,"27790",,-7.2394666264834,43.5605572578114
14780,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 2 3U,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 3 LETRA U",barreiros,"27790",,-7.2394666264834,43.5605572578114
14785,POINT (-7.2339455103768 43.5666768664444),vivendas_turisticas,URBANIZACION OCEANO 1,"CASIANO MORENO Nº 35, PISO ATICO LETRA H",barreiros,"27790",,-7.2339455103768,43.5666768664444
14786,POINT (-7.2339455103768 43.5666768664444),vivendas_turisticas,URBANIZACIÓN OCEANO 1,"CASIANO MORENO Nº 35, PISO 1 LETRA H",barreiros,"27790",,-7.2339455103768,43.5666768664444
14787,POINT (-7.2444321468259 43.5656290852143),vivendas_turisticas,URBANIZACIÓN OCÉANO 4 PORTAL 1 BAJO S,"VILADAIDE PRAIA ALTAR, PISO BJ LETRA S",barreiros,"27790",,-7.2444321468259,43.5656290852143
